objectid,cal17cd,cal17nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E56000003,West Yorkshire,411733,442600,-1.82300997,53.87950134,4378675932.1437,443231.139407597
2,E56000004,"Humber, Coast and Vale",492430,462485,-0.58972001,54.05009842,6653756554.99586,739621.526442323
3,E56000005,Cheshire and Merseyside,374405,380936,-2.38572001,53.3246994,3196448939.61767,478003.609844161
4,E56000006,"South Yorkshire, Bassetlaw, North Derbyshire and Hardwick",439510,386364,-1.40761995,53.37269974,3542346554.38812,390322.917833222
5,E56000007,West Midlands,386293,295477,-2.20359993,52.55699921,13003803302.1968,948293.997511649
6,E56000008,East Midlands,483618,315453,-0.76315999,52.7303009,13412969844.2112,1057740.36227861
7,E56000009,East of England,565744,255573,0.422416,52.17350006,20228986248.4016,1104458.86273454
8,E56000010,South East London,541304,168585,0.029879,51.39870071,357262771.24829,113962.707336297
9,E56000011,Kent and Medway,590108,148050,0.71976799,51.20000076,3907912635.0222,380996.110036595
10,E56000012,Surrey and Sussex,527926,133948,-0.17467999,51.09059906,5622845540.00251,546951.850564193
11,E56000013,Thames Valley,459681,205725,-1.13690996,51.74710083,5614229826.83125,564645.860358513
12,E56000014,Peninsula,249986,81319,-4.12166977,50.61220169,10477029951.4111,1455052.41198776
13,E56000015,"Somerset, Wiltshire, Avon and Gloucestershire",393504,174416,-2.09489989,51.46870041,10990355983.7741,973492.321721352
14,E56000016,Wessex,450080,116813,-1.28846002,50.94860077,6824371196.88878,842525.455484784
15,E56000017,North East and Cumbria,395616,565740,-2.07003999,54.98619843,16653481467.2162,1106808.15778969
16,E56000018,Lancashire and South Cumbria,352390,467540,-2.72956991,54.10150146,5445356717.67365,625286.982255373
