Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount,Supplier Type,Expenditure Type
DCLG,The Planning Inspectorate,07/09/2011,Staff Training & Development,Communications Team ,SYMBIOSIS IMEDIA SYSTEMS,113971,690.00,Undefined,Running cost
DCLG,The Planning Inspectorate,30/09/2011,Hardware,Information Services,INSIGHT DIRECT (UK) LTD,11348356,"13,292.30",Large,Running cost
DCLG,The Planning Inspectorate,30/09/2011,Specialist Contractors,NSI Fees,JDA DEVELOPMENT & PLANNING SERVICE,0538,"2,072.00",Micro,Running cost
DCLG,The Planning Inspectorate,30/09/2011,Specialist Contractors,NSI Fees,JOHN BENTLEY,1,"2,016.00",Micro,Running cost
DCLG,The Planning Inspectorate,30/09/2011,Specialist Contractors,NSI Fees,CAMBRIDGE HOUSING & ENVIRONMENTAL CONSULTANTS,11/23,"1,848.00",Micro,Running cost
DCLG,The Planning Inspectorate,30/09/2011,Specialist Contractors,NSI Fees,CHRIS CHECKLEY,49/11/PINS,"1,792.00",Micro,Running cost
DCLG,The Planning Inspectorate,30/09/2011,Specialist Contractors,NSI Fees,JOHN G MILLARD,PINS/1121,"1,400.00",Micro,Running cost
DCLG,The Planning Inspectorate,30/09/2011,Specialist Contractors,NSI Fees,JOHN BENTLEY,1,"1,017.23",Micro,Running cost
DCLG,The Planning Inspectorate,30/09/2011,Hardware,Admin Support,COMPUTACENTRE(UK) LTD,3803444140,588.00,Large,Running cost
DCLG,The Planning Inspectorate,03/10/2011,Staff Medical Care,Human Resources,HEALTH MANAGEMENT LTD,76091,"3,252.07",Medium,Running cost
DCLG,The Planning Inspectorate,03/10/2011,Specialist Contractors,Tree Preservation Orders,DAVID THORMAN ARBORICULTURAL,2762,"1,256.64",Micro,Running cost
DCLG,The Planning Inspectorate,03/10/2011,Hardware,Information Services,INSIGHT DIRECT (UK) LTD,11353890,512.88,Large,Running cost
DCLG,The Planning Inspectorate,04/10/2011,Specialist Contractors,NSI Fees,STAR PLANNING & DEVELOPMENT LTD,625,"11,474.40",Micro,Running cost
DCLG,The Planning Inspectorate,04/10/2011,Specialist Contractors,NSI Fees,SIMON MILES PLANNING,PINS/2011/09,"4,928.00",Micro,Running cost
