Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,PHARMACY PILGRIM,DIAGNOSTICS PAN TRUST,PHOENIX HEALTHCARE DISTRIBUTION,"32,062.56",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"34,366.23",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,PHARMACY,DIAGNOSTICS PAN TRUST,ROCHE PRODUCTS LTD,"41,911.20",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"44,535.71",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,ENERGY & UTILITIES OTHER NHS,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"1,027.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER ADMIN & CLERICAL,EMERGENCY CARE - PILGRIM,LINCOLNSHIRE TEACHING PCT,"8,110.92",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER ANCILLARY,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"5,559.51",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER NURSING,EMERGENCY CARE - PILGRIM,LINCOLNSHIRE TEACHING PCT,"15,070.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,PREMISES RENT OTHER NHS BODIES,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"1,255.33",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,SW SUPPORT,DIAGNOSTICS PAN TRUST,ACCENTURE UK LTD,"76,216.84",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/04/2011,HEALTHCARE AT HOME,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"100,100.00",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/04/2011,HEALTHCARE AT HOME,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"64,793.76",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,CLINICAL SERVICE CONTRACT,DIAGNOSTICS PAN TRUST,MEDICA GROUP,"33,719.85",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER ADMIN & CLERICAL,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"26,634.16",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER ANCILLARY,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"65,267.39",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,OTHER SENIOR MANAGER,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"4,853.59",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,TELEPHONES,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,38.91,Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,TRAVEL AND SUBSISTENCE EXPS,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,390.85,Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,PATIENT APPLIANCES,WOMEN & CHILDRENS PAN TRUST,LINCOLNSHIRE COUNTY COUNCIL,"16,451.46",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,PATIENT APPLIANCES,"EMERGENCY CARE - GRANTHAM, LINCOLN & LOUTH",LINCOLNSHIRE COUNTY COUNCIL,"14,271.10",Apr-11
Department Of Health,United Lincolnshire Hospitals NHS Trust,14/04/2011,ENERGY & UTILITIES OTHER NHS,FACILITIES / ESTATES,LINCOLNSHIRE TEACHING PCT,"1,027.00",Apr-11
