Minister,Date,Name of organisation or individual,Purpose of meeting
Amber Rudd,2017-07-10,"Carolyn Fairbairn, CBI Director General, Ian Jones, UK General Manager for Intel, David Frankish, CEO of NFT Distribution, Paul Pomroy, CEO of McDonald’s UK, Dr Adam Marshall, Director General of the British Chambers of Commerce, Ian Howells, Senior Vice President of Honda Europe, Ryan Scatterty, Managing Director of Thistle Seafoods, Mike Ashmead, Managing Director of Encocam Ltd",To discuss immigration
Amber Rudd,2017-07-12,The Brixton Recovery Centre,To attend a drugs roundtable hosted by the Lambeth Drug and Alcohol Treatment Consortium 
Amber Rudd,2017-07-24,Migration Watch,To discuss immigration
Amber Rudd,2017-07-26,Trafficking Awareness Raising Alliance (TARA),To discuss modern slavery/human trafficking
Amber Rudd,2017-07-28,"Youtube; Susan Wojcicki,CEO,  Juniper Downs,Global Head of Public Policy and Govt. Relations,  Zayna Aston,Communications and Public Affairs Manager, EMEA,                            Google; Naomi Gummer, Public Policy Manager UK, Miriam Estrin,Public Policy Analyst UK, Ankur Vora, Public Policy Analyst UK, ",To discuss terrorist/extremist content on Youtube
Amber Rudd,2017-08-07,Katie Piper Foundation,To discuss acid attacks/hate crime.
Amber Rudd,2017-08-29,Tower Hamlets Council & statuatory prevent partners. ,To understand the local extremism and radicalisation picture. 
Amber Rudd,2017-08-29,"Parentzone, Somali Advice, Strive",Met with women's groups in Tower Hamlets to discuss radicalisation.
Amber Rudd,2017-08-30,Birmingham Council & Statuatory Prevent partners,To understand the local extremism and radicalisation picture. 
Amber Rudd,2017-08-30,"Amirah Foundation, Muslim Women's Network, Small Steps Network, KIKIT, WMP Advisory Group, University of Birmingham, Church of England",A discussion about radicalisation with civil society groups.
Amber Rudd,2017-08-30,Kirma Nirvana,To discuss the work of Kirma Nirvana and honour based violence .
Amber Rudd,2017-08-30,Chickenley Community Centre Football Coaches ,To discuss the work of a BSBT funded programme and its impact on the local community.
Amber Rudd,2017-08-31,Bradford Council & statuatory prevent partners ,To understand the local extremism and radicalisation picture. 
Amber Rudd,2017-08-31,Mothers Against Radicalisation,To discuss the work of Mothers Against Radicalisation.
Amber Rudd,2017-08-31,"Trident Regeneration Board, Imam's Forum, Bangladeshi Education Action Project, Community Network, Community Worker, Frizinghall Community Partnership, Council for Mosques, Peace Museum, Bradford Hate Crime Alliance, Bradford Council",To understand the local extremism and radicalisation picture. 
Amber Rudd,2017-08-31,Tees Valley Inclusion Project,To discuss the Building a Stronger Britain Together funded programme and the impact on the local community.
Amber Rudd,2017-08-31,Show Racism the Red Card,To discuss the Building a Stronger Britain Together funded programme and the impact on the local community.
Amber Rudd,2017-09-04,"Dave Anderson QC, Brick Court Chambers",To discuss the Operational Improvement review
Amber Rudd,2017-09-06,Unicef,To discuss refugees
Amber Rudd,2017-09-11,"Bear Grylls, Bear Grylls Ventures",To discuss community cohesion and engagement
Amber Rudd,2017-09-20, National Association for People Abused in Childhood (NAPAC),A visit to the NAPAC
Bandon Lewis ,2017-07-05,Thematic Meeting,Minister to open the event on people smuggling and trafficking the UK 
