Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Culture Media and Sport,The Royal Parks,04/04/2011, Capital Project - Building Contractor, Park Management,Fairhurst Ward Abbotts Ltd,PPOIN/00004282,239400.00
Department for Culture Media and Sport,The Royal Parks,27/04/2011, Capital Project - Building Contractor, Projects & Initiatives,Hollywell Building Services,PPOIN/00004352,158128.40
Department for Culture Media and Sport,The Royal Parks,06/04/2011, Capital Purchases - IT Software > œ5k, Projects & Initiatives,Funnelback UK Ltd,PPOIN/00004438,24000.00
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Elective Works Fee, Bushy Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003041,6473.40
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Elective Works Fee, Greenwich Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003041,6473.40
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Elective Works Fee, Hyde Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003041,6473.40
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Elective Works Fee, Kensington Gardens,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003041,6473.40
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Elective Works Fee, Regents Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003041,6473.40
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Elective Works Fee, Richmond Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003041,6473.39
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Elective Works Fee, St James'S Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003041,6473.40
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Management Fee / PPM, Accommodation,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003042,4251.65
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Management Fee / PPM, Brompton Cemetery,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003042,2580.97
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Management Fee / PPM, Bushy Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003042,20255.29
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Management Fee / PPM, Greenwich Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003042,13268.50
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Management Fee / PPM, Hyde Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003042,29807.71
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Management Fee / PPM, Kensington Gardens,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003042,26132.35
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Management Fee / PPM, Longford River,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003042,6256.34
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Management Fee / PPM, Regents Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003042,27970.00
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Management Fee / PPM, Richmond Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003042,28478.91
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Management Fee / PPM, St James'S Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003042,29807.69
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Fixed Management Fee / PPM, The Hub Regents Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003042,6154.55
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Maintenance Events, Hyde Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003039,13679.82
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Planned Maintenance, Bushy Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003037,41940.75
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Planned Maintenance, Estate Management,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003037,7764.40
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Planned Maintenance, Greenwich Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003037,29462.79
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Planned Maintenance, Hyde Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003037,66999.67
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Planned Maintenance, Kensington Gardens,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003037,26320.82
Department for Culture Media and Sport,The Royal Parks,13/04/2011, Works MC - Planned Maintenance, Regents Park,Vinci Construction UK Ltd [Taylor Woodro,PNPOIN/00003038,69568.52
