Expenditure on household and eating out food & drink by economic activity of household reference person Average pence per person per week Full time employee at work,Code,Description,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,2013
PURCHASES FOR CONSUMPTION OUTSIDE THE HOME,eo90002,Food and non-alcoholic drinks,,p,844,890,879,937,930,948,936,930,971,988,1037,1025,1049
PURCHASES FOR CONSUMPTION OUTSIDE THE HOME,eo90003,Alcoholic drinks,,p,455,473,436,427,446,447,404,369,375,393,379,364,343
PURCHASES FOR HOUSEHOLD SUPPLIES,cat105,Food and non-alcoholic drinks,,p,1909,1970,2011,2024,2082,2188,2224,2289,2411,2428,2475,2565,2600
PURCHASES FOR HOUSEHOLD SUPPLIES,380389,Alcoholic drinks,,p,280,280,278,291,286,300,313,288,323,339,331,355,325
PURCHASES FOR HOUSEHOLD SUPPLIES,cat106,"Food and drink, excluding soft drinks, alcoholic drinks and confectionery",,p,1749,1810,1835,1850,1923,2021,2053,2118,2225,2235,2273,2365,2393
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,cat520,Milk and milk products excluding cheese,,p,137,141,146,148,155,160,164,176,190,173,172,178,175
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,22023,Cheese,,p,60,61,60,62,64,68,70,74,77,79,81,84,86
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,31041,Carcase meat,,p,95,99,102,102,107,112,113,117,119,121,115,122,120
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,46095,Non-carcase meat and meat products,,p,369,389,406,390,397,403,408,415,443,444,463,480,480
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,100123,Fish,,p,83,88,85,89,94,104,112,106,110,109,109,112,115
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,12901,Eggs,,p,15,16,16,16,17,17,22,25,26,26,25,28,29
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,135148,Fats,,p,31,32,30,31,33,35,36,41,42,42,46,47,46
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,150154,Sugar and preserves,,p,12,13,12,13,13,13,14,14,16,17,16,18,18
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,155155,,Fresh potatoes,p,32,29,29,30,30,33,34,34,33,32,31,32,36
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,cat710,,Processed potatoes,p,74,74,75,73,71,72,75,75,79,80,86,88,91
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,162171,,Fresh green vegetables,p,39,40,41,41,44,46,48,44,45,47,46,49,48
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,172183,,Other fresh vegetables,p,77,79,81,85,93,99,104,106,109,117,111,115,120
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,cat702,,Processed vegetables excluding processed potatoes,p,55,57,57,57,60,64,63,67,71,72,74,76,79
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,cat810,Fresh and processed fruit,,p,145,153,154,160,183,202,201,197,200,203,208,215,226
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,251263,Bread,,p,86,88,89,90,95,104,107,115,117,112,118,122,124
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,26401,Flour,,p,2,2,2,2,2,2,3,4,3,4,5,4,5
DETAILS OF PURCHASES FOR HOUSEHOLD SUPPLIES,267270,"Cakes, buns and pastries",,p,49,53,55,56,56,57,54,57,59,56,59,64,61
