A3131,,,,,,,,,,Expenditure Over Threshold
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RUN AT 1/5/2016 9:57:19 AM,,,,,,,,,,
Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Clinical&Medical-Independent Sector,Winter Resilience,12 POINT CARE LTD,10295585,"47,450.00",,12PC005,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,10306602,"(31,887.40)",879108291,HT000020872,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,10306603,"72,005.21",879108291,HT000020873,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,ASHWELL SURGERY,10306603,"2,968.40",879108291,HT000020873,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec NHS Trust-Non Contract,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,10256622,"1,236.06",,8422817,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,BARKING HAVERING AND REDBRIDGE HOSPITALS NHS TRUST,10256622,"23,770.34",,8422817,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BARTS HEALTH NHS TRUST,10090654,"217,431.72",,240997,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,BASILDON & THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10077618,"59,462.00",,76101,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,BEDFORD HOSPITAL NHS TRUST,10077752,"27,706.00",,I0145635,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,10060944,"103,719.69",,49060,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE COLLECTIONS,10061016,"83,829.17",,49063,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Netwrkd assets(Owned)-Cost-Addns,BALANCE SHEET,BOMGAR UK LTD,10068073,"65,107.21",,EINV0000504,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9964942,"915,166.67",,70014687,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Clinical&Medical-Independent Sector,WINTER PRESSURES,CANTERBURY WAY SURGERY,10353496,"50,259.00",,SRDEC152,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,10145640,"26,916.66",654915415,52752037,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,10306615,"25,756.62",,HT000020885,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,COURTENAY HOUSE SURGERY,10306615,623.20,,HT000020885,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Other Travel Costs - Car Parking,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,CP PLUS LTD,10047385,"1,824.58",,2055210,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Other Travel Costs - Car Parking,CORPORATE COSTS & SERVICES,CP PLUS LTD,10047385,"11,251.06",,2055210,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Other Travel Costs - Car Parking,IM&T,CP PLUS LTD,10047385,"5,679.94",,2055210,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Other Travel Costs - Car Parking,MEDICINES MANAGEMENT,CP PLUS LTD,10047385,836.24,,2055210,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Other Travel Costs - Car Parking,RECHARGES,CP PLUS LTD,10047385,"1,466.28",,2055210,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Cont Care-NHS Trust,CHC CHILDREN,EAST AND NORTH HERTFORDSHIRE NHS TRUST,10047474,"50,452.00",,4122235,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,10061045,"40,340.00",,4122899,
Department of Health,NHS East & North Hertfordshire CCG,30/11/2015,Hcare Srv Rec NHS Trust-Contract Baseline,ACUTE COMMISSIONING,EAST AND NORTH HERTFORDSHIRE NHS TRUST,9960802,"16,003,575.00",,4122300,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec NHS Trust-Over/ Under Performance,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,10182868,"28,380.06",,834040,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,10182912,"35,964.00",,834729,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,10182921,"33,652.00",,834764,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec NHS Trust-Contract Baseline,AMBULANCE SERVICES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,10182974,"1,337,151.51",,834853,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec NHS Trust,NON RECURRENT PROGRAMMES,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,10208131,"33,917.00",,835234,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Clinical&Medical-Independent Sector,Winter Resilience,GENERATING HEALTHCARE LTD,10313664,"39,372.00",,ULV02NOVEMEMBER,
Department of Health,NHS East & North Hertfordshire CCG,31/12/2015,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,10145262,"71,315.17",,X0144669,
