Bathing Water Classifications (BW2006/7/EC) - 2016 Classification,,,,,,
Individual bathing water classifications,,,,,,
See information worksheet for column heading descriptions.,,,,,,
Area,BW Ref,Name,2016 Classification,2015 Classification,2015_2016_Comparison,GridRef
Northumberland Durham and Tees,3600,Spittal,Sufficient,Poor,Poor to Sufficient,NU0080051500
Northumberland Durham and Tees,3700,Bamburgh Castle,Excellent,Excellent,No change,NU1850035300
Northumberland Durham and Tees,3800,Seahouses North,Excellent,Excellent,No change,NU2110033000
Northumberland Durham and Tees,3900,Beadnell,Excellent,Excellent,No change,NU2330028400
Northumberland Durham and Tees,4000,Low Newton,Excellent,Excellent,No change,NU2438024450
Northumberland Durham and Tees,4200,Warkworth,Excellent,Excellent,No change,NU2592006429
Northumberland Durham and Tees,4250,Amble Links,Excellent,Excellent,No change,NU2850003600
Northumberland Durham and Tees,4280,Druridge Bay North,Excellent,Excellent,No change,NZ2750099750
Northumberland Durham and Tees,4300,Druridge Bay South,Excellent,Excellent,No change,NZ2910094100
Northumberland Durham and Tees,4400,Newbiggin North,Excellent,Excellent,No change,NZ3128087900
Northumberland Durham and Tees,4500,Newbiggin South,Excellent,Excellent,No change,NZ3100087280
Northumberland Durham and Tees,4600,Blyth South Beach,Excellent,Excellent,No change,NZ3220079500
Northumberland Durham and Tees,4700,Seaton Sluice,Excellent,Good,Good to Excellent,NZ3340077100
Northumberland Durham and Tees,4800,Whitley Bay,Excellent,Excellent,No change,NZ3555072850
Northumberland Durham and Tees,4900,Tynemouth Cullercoats,Good,Good,No change,NZ3646571287
Northumberland Durham and Tees,5000,Tynemouth Long Sands North,Excellent,Excellent,No change,NZ3661970803
Northumberland Durham and Tees,5100,Tynemouth Long Sands South,Excellent,Excellent,No change,NZ3697070100
Northumberland Durham and Tees,5200,Tynemouth King Edwards Bay,Excellent,Excellent,No change,NZ3724869573
Northumberland Durham and Tees,5300,South Shields,Excellent,Excellent,No change,NZ3790067400
Northumberland Durham and Tees,5400,Marsden,Good,Good,No change,NZ4000065000
Northumberland Durham and Tees,5500,Seaburn - Sunderland,Excellent,Excellent,No change,NZ4070060500
Northumberland Durham and Tees,5600,Roker - Sunderland,Excellent,Excellent,No change,NZ4080059190
Northumberland Durham and Tees,5700,Seaham Hall Beach,Good,Sufficient,Sufficient to Good,NZ4238050825
Northumberland Durham and Tees,5800,Seaham Beach,Excellent,Sufficient,Sufficient to Excellent,NZ4260050500
Northumberland Durham and Tees,5900,Crimdon,Excellent,Good,Good to Excellent,NZ4848237268
Northumberland Durham and Tees,6000,Seaton Carew North,Good,Sufficient,Sufficient to Good,NZ5260130257
Northumberland Durham and Tees,6100,Seaton Carew Centre,Excellent,Good,Good to Excellent,NZ5295029732
Northumberland Durham and Tees,6200,Seaton Carew North Gare,Excellent,Excellent,No change,NZ5400028600
Northumberland Durham and Tees,6300,Redcar Coatham,Good,Good,No change,NZ5940025600
Northumberland Durham and Tees,6400,Redcar Lifeboat Station,Excellent,Good,Good to Excellent,NZ6074825394
Northumberland Durham and Tees,6500,Redcar Granville,Good,Good,No change,NZ6130025100
Northumberland Durham and Tees,6600,Redcar Stray,Excellent,Good,Good to Excellent,NZ6250023800
Northumberland Durham and Tees,6650,Marske Sands,Excellent,Good,Good to Excellent,NZ6360023200
Northumberland Durham and Tees,6700,Saltburn,Excellent,Good,Good to Excellent,NZ6667721775
Yorkshire,6900,Runswick Bay,Excellent,Excellent,No change,NZ8107215889
Yorkshire,7000,Sandsend,Excellent,Good,Good to Excellent,NZ8640012600
Yorkshire,7100,Whitby,Excellent,Excellent,No change,NZ8919111576
Yorkshire,7200,Robin Hoods Bay,Excellent,Excellent,No change,NZ9533904850
Yorkshire,7300,Scarborough North Bay,Excellent,Excellent,No change,TA0376989807
Yorkshire,7400,Scarborough South Bay,Poor,Sufficient,Sufficient to Poor,TA0457788564
Yorkshire,7500,Cayton Bay,Excellent,Excellent,No change,TA0677584468
Yorkshire,7600,Filey,Good,Good,No change,TA1200380524
Yorkshire,7700,Reighton,Sufficient,Good,Good to Sufficient,TA1435576227
Yorkshire,7900,Flamborough South Landing,Excellent,Excellent,No change,TA2312469230
Yorkshire,7950,"Danes Dyke, Flamborough",Excellent,Excellent,No change,TA2159269167
Yorkshire,8000,Bridlington North Beach,Good,Good,No change,TA1897267175
Yorkshire,8100,Bridlington South Beach,Good,Good,No change,TA1794866087
Yorkshire,8200,Wilsthorpe,Good,Good,No change,TA1740764850
Yorkshire,8300,Fraisthorpe,Good,Good,No change,TA1703062873
Yorkshire,8600,Skipsea,Good,Good,No change,TA1883753277
Yorkshire,8700,Hornsea,Excellent,Excellent,No change,TA2092348005
Yorkshire,8800,Tunstall,Excellent,Excellent,No change,TA3180031256
Yorkshire,8900,Withernsea,Excellent,Excellent,No change,TA3441327970
Lincolnshire and Northamptonshire,9000,Cleethorpes,Good,Good,No change,TA3111808601
Lincolnshire and Northamptonshire,9020,Humberston Fitties,Excellent,Excellent,No change,TA3314006140
Lincolnshire and Northamptonshire,9100,Mablethorpe Town,Excellent,Excellent,No change,TF5086685420
Lincolnshire and Northamptonshire,9200,Sutton-on-Sea,Excellent,Excellent,No change,TF5231182152
Lincolnshire and Northamptonshire,9300,Moggs Eye,Excellent,Excellent,No change,TF5491277671
Lincolnshire and Northamptonshire,9400,Anderby,Excellent,Excellent,No change,TF5543476244
Lincolnshire and Northamptonshire,9500,Chapel St Leonards,Excellent,Excellent,No change,TF5651272161
Lincolnshire and Northamptonshire,9600,Ingoldmells South,Excellent,Excellent,No change,TF5760968180
Lincolnshire and Northamptonshire,9700,Skegness,Excellent,Excellent,No change,TF5745363312
Derbyshire Nottinghamshire and Leicestershire,9750,Colwick Country Park (West Lake),Excellent,Excellent,No change,SK6069839020
Cambridgeshire and Bedfordshire,9800,Heacham,Good,Good,No change,TF6630037500
Cambridgeshire and Bedfordshire,9850,Hunstanton Main Beach,Good,Good,No change,TF6702040600
Essex Norfolk and Suffolk,9900,Hunstanton (Old Hunstanton),Good,Good,No change,TF6780042500
Essex Norfolk and Suffolk,10000,Wells,Good,Excellent,Excellent to Good,TF9140045600
Essex Norfolk and Suffolk,10100,Sheringham,Excellent,Excellent,No change,TG1566543545
Essex Norfolk and Suffolk,10125,West Runton,Excellent, Designated in 2016,,TG1866043207
Essex Norfolk and Suffolk,10150,East Runton,Excellent,Excellent,No change,TG2024242763
Essex Norfolk and Suffolk,10200,Cromer,Excellent,Excellent,No change,TG2190042500
Essex Norfolk and Suffolk,10300,Mundesley,Excellent,Excellent,No change,TG3170036600
Essex Norfolk and Suffolk,10310,Sea Palling,Excellent,Excellent,No change,TG4309027540
Essex Norfolk and Suffolk,10325,Hemsby,Excellent,Excellent,No change,TG5079317301
Essex Norfolk and Suffolk,10350,Caister Point,Excellent,Excellent,No change,TG5292211945
Essex Norfolk and Suffolk,10400,Great Yarmouth North,Excellent,Excellent,No change,TG5336110410
Essex Norfolk and Suffolk,10500,Great Yarmouth Pier,Excellent,Excellent,No change,TG5330007400
Essex Norfolk and Suffolk,10600,Great Yarmouth South,Excellent,Excellent,No change,TG5330006400
Essex Norfolk and Suffolk,10650,Gorleston Beach,Excellent,Excellent,No change,TG5309603434
Essex Norfolk and Suffolk,10750,Lowestoft (North of Claremont Pier),Good,Excellent,Excellent to Good,TM5471892204
Essex Norfolk and Suffolk,10800,Lowestoft (South of Claremont Pier),Good,Excellent,Excellent to Good,TM5450091700
Essex Norfolk and Suffolk,10830,Southwold The Pier,Excellent,Excellent,No change,TM5130076700
Essex Norfolk and Suffolk,10850,Southwold The Denes,Good,Good,No change,TM5080075400
Essex Norfolk and Suffolk,10900,Felixstowe North,Excellent,Excellent,No change,TM3059834411
Essex Norfolk and Suffolk,11000,Felixstowe South,Excellent,Excellent,No change,TM2970033700
Essex Norfolk and Suffolk,11100,Dovercourt,Excellent,Excellent,No change,TM2517030640
Essex Norfolk and Suffolk,11250,Walton,Good,Good,No change,TM2555021560
Essex Norfolk and Suffolk,11300,Frinton,Good,Excellent,Excellent to Good,TM2392819342
Essex Norfolk and Suffolk,11350,Holland,Excellent,Excellent,No change,TM2245017650
