"Table 7 - Total Identifiable Expenditure on Services by Country and region, per head 2010-11 to 2013-14",,,,,,,,,,,,
,,,,,,,,,,,,
,,2010-11,,2011-12,,2012-13,,2013-14,,,,
,,Outturn,,Outturn,,Outturn,,Outturn,,,,
,,£ per head,,£ per head,,£ per head,,£ per head,,,,
North East,, 88 ,, 110 ,, 92 ,, 91 ,,,,
North West,, 62 ,, 67 ,, 57 ,, 55 ,,,,
Yorkshire and the Humber,, 96 ,, 105 ,, 88 ,, 87 ,,,,
East Midlands,, 135 ,, 115 ,, 105 ,, 105 ,,,,
West Midlands,, 79 ,, 83 ,, 71 ,, 71 ,,,,
East,, 145 ,, 116 ,, 125 ,, 124 ,,,,
London,, 14 ,, 23 ,, 27 ,, 26 ,,,,
South East,, 68 ,, 69 ,, 71 ,, 69 ,,,,
South West,, 141 ,, 161 ,, 138 ,, 137 ,,,,
,,,,,,,,,,,,
England,, 86 ,, 87 ,, 81 ,, 79 ,,,,
Scotland,, - ,, 2 ,, 1 ,, 1 ,,,,
Wales,, 1 ,, 2 ,, 1 ,, 1 ,,,,
Northern Ireland,, - ,, 1 ,, - ,, 3 ,,,,
UK identifiable expenditure,, 72 ,, 73 ,, 68 ,, 67 ,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
