Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Item Text,Amount
Communities & Local Government,PINS,01/12/2014,Conferences and Meeting Facilities,Inspector Costs,NOVOTEL BRISTOL          BRISTOL,1000000790,Room Hire for Band 2 training,397.00
Communities & Local Government,PINS,01/12/2014,Restaurant and Supplies,Inspector Costs,WWW.PHILPOTTS.CO.UK      INTERNET,1000000790,Refreshments for Enforcement TBU,452.50
Communities & Local Government,PINS,01/12/2014,Training,Strategy & Communications,CIVIL SERVICE LEARNING   INTERNET,1000000789,2   CSL Masterclasses,325.20
Communities & Local Government,PINS,01/12/2014,Training,Strategy & Communications,CIVIL SERVICE LEARNING   INTERNET,1000000789,Leading With Purpose,"3,858.00"
Communities & Local Government,PINS,01/12/2014,Training,Human Resources,CIVIL SERVICE LEARNING   INTERNET,1000000791,Dev Comm Awar ,319.20
Communities & Local Government,PINS,01/12/2014,Training,Human Resources,HAWKSMERE LTD            LONDON 01,1000000791,Current Issues ,298.80
Communities & Local Government,PINS,01/12/2014,Training,Human Resources,WWW.PRACADEMY.CO.UK      MAIDSTONE,1000000791,ICC,"1,320.00"
Communities & Local Government,PINS,03/12/2014,Restaurant and Supplies,Inspector Costs,WWW.PHILPOTTS.CO.UK      INTERNET,1000000796,Refereshments for Plans TBU,359.80
Communities & Local Government,PINS,03/12/2014,Recruitment/Procurement Advertising,Inspector Costs,LAW SOCIETY GAZETT      ,1000000797,Recruitment for Planning Inspectors,822.00
Communities & Local Government,PINS,03/12/2014,Recruitment/Procurement Advertising,Inspector Costs,PAYPAL  LANDSCAPEIN      ,1000000797,Recruitment for Planning Inspectors,450.00
Communities & Local Government,PINS,03/12/2014,Recruitment/Procurement Advertising,Inspector Costs,REDACTIVE PUBLISH        LONDON  EC1M,1000000798,Recruitment for Planning Inspectors,"1,140.00"
Communities & Local Government,PINS,03/12/2014,Recruitment/Procurement Advertising,Inspector Costs,RIBA ENTERPRISES LTD     LONDON EC2P 2,1000000798,Recruitment for Planning Inspectors,300.00
Communities & Local Government,PINS,08/12/2014,Conferences and Meeting Facilities,Inspector Costs,RIBA 1834 LTD            ,1000000800,Room Hire  SGM,408.00
Communities & Local Government,PINS,08/12/2014,Training,Human Resources,CIPD ENTERPRISES         LONDON  SW19,1000000804,Com Rec,"1,380.00"
Communities & Local Government,PINS,08/12/2014,Training,Human Resources,WWW.PMGLTD.CO.UK         ,1000000804,Mobile Gov Conf ,716.40
Communities & Local Government,PINS,15/12/2014,Software Licences,ICT Business Partner,QBSSOFTWARE.COM        ,1000000812,SuperNova Licences x 2,"1,065.65"
Communities & Local Government,PINS,15/12/2014,Recruitment/Procurement Advertising,Inspector Costs,EMAP LTD                 LONDON W1B,1000000811,Advertising for Inspectors,"1,200.00"
Communities & Local Government,PINS,22/12/2014,Training,Human Resources,OFFICE FOR NAT STATS     NEWPORT,1000000820,RSS OC ,"1,070.00"
Communities & Local Government,PINS,22/12/2014,Training,Human Resources,WWW.EPAY.EXETER.AC.UK/EP EXETER,1000000820,T - SC,"5,757.00"
Communities & Local Government,PINS,23/12/2014,Software Licences,ICT Head of Service,DRI  TECHSMITH           LUXEMBOURG,1000000823,Camtasis Licences x 4,714.57
Communities & Local Government,PINS,29/12/2014,Training,Group Managers,OU FINANCE MOTO          MILTON KEYNES,1000000824,Training Course ,"1,290.00"
