Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,International Subscriptions,Energy Markets & Infrastructure - Security and resilience,INTERNATIONAL ATOMIC ENERGY AGENCY,1015506,"£761,256.74"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - EMI Director General,NUCLEAR DECOMMISSIONING AUTHORITY,4019726,"£3,974,533.04"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - EMI Director General,NUCLEAR DECOMMISSIONING AUTHORITY,4019727,"£14,652,917.51"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Grants to Overseas (Capital),International Energy & Climate Change - International Climate Change Negotiations,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,4020293,"£103,487,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020541,£782.07
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Taxis,DECC Private Office Group - DECC Private Office Group,DIAL A CAB,4020551,£906.35
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020651,"£1,215.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Coal Provision Payments Suspense,Energy Markets & Infrastructure - Energy Development Unit,DECC COAL CENTRAL ACCOUNT,4020681,"£150,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4020684,£732.30
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4020697,"£1,574.02"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4020699,£573.00
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,THE WHITEHALL AND INDUSTRY GROUP,4020702,£895.00
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Computer Equipment - Clearing,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020703,"£3,428.93"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Computer Equipment - Clearing,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020703,"£35,146.15"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Application Development & Support (PFI),Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020704,"£281,259.96"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,IT Software Licences,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020705,"£27,107.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ERNST & YOUNG LLP,4020707,"£24,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,International Subscriptions,Energy Markets & Infrastructure - Security and resilience,ORGANISATION FOR THE PROHIBITION OF CHEMICAL WEAPONS OPCW,4020783,"£2,915,118.72"
Department of Energy and Climate Change,Department of Energy and Climate Change,04/01/2011,International Subscriptions,Energy Markets & Infrastructure - Security and resilience,INTERNATIONAL ATOMIC ENERGY AGENCY,4020784,"£2,195,647.86"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Other Centrally -Funded IT Maintenance and Support,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4020241,"£3,660.76"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Other HR Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW PARTNERS LLP,4020349,"£2,750.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Strategy - Strategy and Delivery Unit,OFFICE ANGELS LTD,4020533,£774.56
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE ANGELS LTD,4020542,£596.23
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Other HR Consultancy,Corporate Support & Shared Services - Corporate Support & Shared Services,MORGAN LAW PARTNERS LLP,4020574,"£1,650.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,CONVERTEAM TECHNOLOGY LTD,4020594,"£50,755.85"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020617,"£1,215.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,05/01/2011,Media and Design Services,Energy Markets & Infrastructure - Office of Nuclear Development,COI COMMUNICATIONS,4020618,"£1,735.00"
