CPS outcomes by principal offence category opolitan_and_city,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,6,100.0%,0,0.0%
B Offences Against The Person,"1,244",66.0%,640,34.0%
C Sexual Offences,101,61.2%,64,38.8%
D Burglary,389,82.6%,82,17.4%
E Robbery,299,77.5%,87,22.5%
F Theft And Handling,"1,430",89.0%,176,11.0%
G Fraud And Forgery,235,84.8%,42,15.2%
H Criminal Damage,351,82.6%,74,17.4%
I Drugs Offences,"1,049",92.3%,87,7.7%
J Public Order Offences,714,80.7%,171,19.3%
K All Other Offences (excluding Motoring),622,79.6%,159,20.4%
L Motoring Offences,"3,879",90.8%,393,9.2%
Admin Finalisations,0,0.0%,203,100.0%
TOTAL,"10,319",82.6%,"2,178",17.4%
