Department,Entity,Transaction Date,Supplier Name Published,Amount Published,Expense Type Published,Expense Area Published,"Expense Description published for admin spend above £25,000 only",
Apr-12,,,,,,,,
Department,Entity,Transaction Date,"Supplier Name
",Amount ,"Expenses Type 
","Expenses Area
","Expenses Type 
",
DFID,DFID,11/04/2012,LONDON SCHOOL OF HYGIENE AND TR,"£10,004",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",Aid Programme - Accountable Grant Payments,
DFID,DFID,16/04/2012,THE ASHDEN AWARDS.,"£10,000",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",Aid Programme - Accountable Grant Payments,
DFID,DFID,19/04/2012,ACCESS HEALTH INTERNATIONAL,"£13,939",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",Aid Programme - Accountable Grant Payments,
DFID,DFID,23/04/2012,UNIVERSITY OF OXFORD,"£1,313",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",Aid Programme - Accountable Grant Payments,
DFID,DFID,24/04/2012,ROYAL SOCIETY FOR THE PROTECTION OF BIRDS,"£11,016",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",Aid Programme - Accountable Grant Payments,
DFID,DFID,30/04/2012,ROYAL SOCIETY FOR THE PROTECTION OF BIRDS,"£6,760",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",Aid Programme - Accountable Grant Payments,
DFID,DFID,24/04/2012,WINROCK INTERNATIONAL INDIA,"£27,739",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",Aid Programme - Accountable Grant Payments,
DFID,DFID,27/04/2012,BRAC,"£500,000",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",Aid Programme - Accountable Grant Payments,
DFID,DFID,30/04/2012,CIPFA,"£47,749",Aid Programme - Accountable Grant Payments,"Asia, Caribbean and Overseas Territories",Aid Programme - Accountable Grant Payments,
DFID,DFID,16/04/2012,ECGD ACCOUNT,"£12,100",Aid Programme - Aid and Trade Provision,"Asia, Caribbean and Overseas Territories",Aid Programme - Aid and Trade Provision,
DFID,DFID,16/04/2012,ECGD ACCOUNT,"£5,545",Aid Programme - Aid and Trade Provision,"Asia, Caribbean and Overseas Territories",Aid Programme - Aid and Trade Provision,
DFID,DFID,16/04/2012,ECGD ACCOUNT,"£6,682",Aid Programme - Aid and Trade Provision,"Asia, Caribbean and Overseas Territories",Aid Programme - Aid and Trade Provision,
DFID,DFID,19/04/2012,Harewelle International Limited.,"£1,270,728",Aid Programme - Challenge Fund payments,"Asia, Caribbean and Overseas Territories",Aid Programme - Challenge Fund payments,
DFID,DFID,13/04/2012,Le Thi Thanh Thuy (Nguyen Le),"£5,411","Conferences, Seminars & Meeting/Event Resource","Asia, Caribbean and Overseas Territories","Conferences, Seminars & Meeting/Event Resource",
DFID,DFID,13/04/2012,Foreign & Commonwealth Office,"£4,052","Conferences, Seminars & Meeting/Event Resource","Asia, Caribbean and Overseas Territories","Conferences, Seminars & Meeting/Event Resource",
