,,,,Plymouth,South West,England
All Households,Count,Households,Mar-11,109307,2264641,22063368
All People Aged 16 and Over in Household have English as a Main Language (English or Welsh in Wales),Count,Households,Mar-11,104612,2171555,20053717
All People Aged 16 and Over in Household have English as a Main Language (English or Welsh in Wales),Percentage,Households,Mar-11,95.7,95.9,90.9
At Least One but not All People Aged 16 and Over in Household have English as a Main Language (English or Welsh in Wales),Count,Households,Mar-11,1827,41691,850510
At Least One but not All People Aged 16 and Over in Household have English as a Main Language (English or Welsh in Wales),Percentage,Households,Mar-11,1.7,1.8,3.9
No People Aged 16 and Over in Household but at Least One Person Aged 3 to 15 has English as a Main Language (English or Welsh in Wales),Count,Households,Mar-11,290,6197,178838
No People Aged 16 and Over in Household but at Least One Person Aged 3 to 15 has English as a Main Language (English or Welsh in Wales),Percentage,Households,Mar-11,0.3,0.3,0.8
No People in Household have English as a Main Language (English or Welsh in Wales),Count,Households,Mar-11,2578,45198,980303
No People in Household have English as a Main Language (English or Welsh in Wales),Percentage,Households,Mar-11,2.4,2,4.4
"Household Language, 2011 (KS206EW), Mar11",LastUpdated,30-Jan-13,,,,
"Household Language, 2011 (KS206EW), Mar11",Source,Office for National Statistics,,,,
Household Language (KS206EW),National Statistics,,,,,
"This material is Crown Copyright. You may re-use this information (not including logos) free of charge in any format or medium, under the terms of the Open Government Licence. To view this licence, visit www.nationalarchives.gov.uk/doc/open-government-licence Information Policy Team, The National Archives, Kew, London TW9 4DU, or email:psi@nationalarchives.gsi.gov.uk. When reproducing this material, the source should be acknowledged.",,,,,,
