No.,Surname of Candidate,Other names of Candidate,Full Description (as given in the nomination paper),Deemed Elected,Stage 1 - 1st Preference,Stage 2 - Exclusion CRUIKSHANK,Stage 2 - Total,Stage 3 - Transfer MIDDLETON,Stage 3 - Total,Stage 4 - Exclusion HAWTHORNE,Stage 4 - Total,Stage 5 - Exclusion MCCROSSAN,Stage 5 - Total,Stage 6 - Transfer FLEMING,Stage 6 - Total,Stage 7 - Transfer DEVENNEY,Stage 7 - Total,Stage 8 - Exclusion STEVENSON,Stage 8 - Total,Stage 9 - Exclusion HUGHES,Stage 9 - Total,,,,,,,,,
1,CRUICKSHANK,GEOFF,UKIP,Excluded - Stage 1,185.00,-185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
2,DEVENNEY,MAURICE,DUP,Elected - Stage 4,936.00,98.00,1034.00,18.72,1052.72,38.00,1090.72,0.00,1090.72,0.00,1090.72,-36.72,1054.00,0.00,1054.00,0.00,1054.00,,,,,,,,,
3,FLEMING,PAUL,SF,Elected - Stage 5,895.00,3.00,898.00,0.04,898.04,16.00,914.04,281.00,1195.04,-141.04,1054.00,0.00,1054.00,0.00,1054.00,0.00,1054.00,,,,,,,,,
4,HASTINGS,GUS,SDLP,Elected - Stage 9,492.00,5.00,497.00,0.02,497.02,45.02,542.04,19.00,561.04,41.36,602.40,3.00,605.40,191.54,796.94,156.00,952.94,,,,,,,,,
5,HAWTHORNE,DAVID,ALLIANCE,Excluded - Stage 3,336.00,9.00,345.00,0.16,345.16,-345.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
6,HUGHES,PAUL,INDEPENDENT,Excluded - Stage 8,501.00,3.00,504.00,0.00,504.00,37.00,541.00,11.00,552.00,23.76,575.76,0.00,575.76,11.00,586.76,-586.76,0.00,,,,,,,,,
7,MCCROSSAN,MICHAEL,SF,Excluded - Stage 4,358.00,0.00,358.00,0.02,358.02,7.00,365.02,-365.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
8,MCKEEGAN,RONNIE,UUP,Excluded - Stage 9,555.00,50.00,605.00,2.16,607.16,61.04,668.20,1.00,669.20,0.88,670.08,22.00,692.08,12.02,704.10,13.00,717.10,,,,,,,,,
9,MCKEEVER,JIM,SDLP,Elected - Stage 9,493.00,3.00,496.00,0.14,496.14,68.00,564.14,27.02,591.16,59.84,651.00,4.00,655.00,259.18,914.18,71.00,985.18,,,,,,,,,
10,MIDDLETON,GARY,DUP,Elected - Stage 1,1077.00,0.00,1077.00,-23.00,1054.00,0.00,1054.00,0.00,1054.00,0.00,1054.00,0.00,1054.00,0.00,1054.00,0.00,1054.00,,,,,,,,,
11,STEVENSON,BRENDA,SDLP,Excluded - Stage 7,490.00,1.00,491.00,0.06,491.06,31.00,522.06,11.00,533.06,14.96,548.02,2.00,550.02,-550.02,0.00,0.00,0.00,,,,,,,,,
Non transferable,,,,,,13.00,13.00,1.68,14.68,42.10,56.78,15.00,71.78,0.24,72.02,5.72,77.74,76.28,154.02,346.76,500.78,,,,,,,,,
Totals,,,,,6318.00,,6318.00,,6318.00,,6318.00,,6318.00,,6318.00,,6318.00,,6318.00,,6318.00,,,,,,,,,
