CPS outcomes by principal offence category hertfordshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,100.0%,0,0.0%
B Offences Against The Person,143,82.2%,33,17.8%
C Sexual Offences,7,57.1%,1,42.9%
D Burglary,35,87.9%,4,12.1%
E Robbery,10,84.2%,3,15.8%
F Theft And Handling,192,91.5%,17,8.5%
G Fraud And Forgery,27,89.5%,3,10.5%
H Criminal Damage,42,87.2%,4,12.8%
I Drugs Offences,114,95.3%,8,4.7%
J Public Order Offences,38,89.4%,10,10.6%
K All Other Offences (excluding Motoring),49,65.9%,9,34.1%
L Motoring Offences,490,88.9%,51,11.1%
Admin Finalisations,0,0.0%,14,100.0%
TOTAL,"1,147",88.0%,157,12.0%
