Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,Sussex Community NHS Trust,01/02/2012,AUC Additions,Balance Sheet,A & F PILBEAM LTD,14314221,52694.17
Department of Health,Sussex Community NHS Trust,22/02/2012,AUC Additions,Balance Sheet,A & F PILBEAM LTD,14407588,29250.00
Department of Health,Sussex Community NHS Trust,01/02/2012,AUC Additions,Balance Sheet,CLC CONTRACTORS LTD,14197026,20900.00
Department of Health,Sussex Community NHS Trust,22/02/2012,AUC Additions,Balance Sheet,HEWLETT- PACKARD LTD,14368374,66380.86
Department of Health,Sussex Community NHS Trust,08/02/2012,AUC Additions,Balance Sheet,WH CATCHPOLE LTD,14054038,36290.00
Department of Health,Sussex Community NHS Trust,08/02/2012,AUC Additions,Balance Sheet,WH CATCHPOLE LTD,14368298,28298.60
Department of Health,Sussex Community NHS Trust,01/02/2012,Ambulance Services,Purchasing Dept,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,14306254,30837.58
Department of Health,Sussex Community NHS Trust,15/02/2012,Commercial Sector,MSK - PCIS (Vale) WS,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,14398951,26723.18
Department of Health,Sussex Community NHS Trust,29/02/2012,Continence Products,Continence Adults WS,PAUL HARTMANN LTD,14452658,95193.23
Department of Health,Sussex Community NHS Trust,22/02/2012,Continence Products,Continence Adults WS,PAUL HARTMANN LTD,14452659,84426.71
Department of Health,Sussex Community NHS Trust,01/02/2012,Equip Maint Contracts,Wheelchair Serv Adults WS,AJ MOBILITY LTD,14343774,33231.15
Department of Health,Sussex Community NHS Trust,22/02/2012,Equip Maint Contracts,Wheelchair Serv Adults WS,AJ MOBILITY LTD,14391335,33231.15
Department of Health,Sussex Community NHS Trust,08/02/2012,Ext Contr Catering,Facilities Kleinwort WS,ARAMARK LTD,14375577,22469.21
Department of Health,Sussex Community NHS Trust,08/02/2012,Legal / Prof Fees,Chief Executive,KPMG LLP,14383452,33449.16
Department of Health,Sussex Community NHS Trust,01/02/2012,Limbs,Prosthetic Services,OTTO BOCK HEALTHCARE PLC,14343776,54523.93
Department of Health,Sussex Community NHS Trust,29/02/2012,Limbs,Prosthetic Services,OTTO BOCK HEALTHCARE PLC,14391355,54523.93
Department of Health,Sussex Community NHS Trust,29/02/2012,Limbs,Prosthetic Services,OTTO BOCK HEALTHCARE PLC,14512834,30682.10
Department of Health,Sussex Community NHS Trust,15/02/2012,NHS payables - Current,Balance Sheet,NHS SUPPLY CHAIN,14313837,45530.36
Department of Health,Sussex Community NHS Trust,01/02/2012,NHS payables - Current,Balance Sheet,NHS SUPPLY CHAIN,14313838,30923.84
Department of Health,Sussex Community NHS Trust,15/02/2012,NHS payables - Current,Balance Sheet,NHS SUPPLY CHAIN,14383489,40274.54
Department of Health,Sussex Community NHS Trust,15/02/2012,NHS payables - Current,Balance Sheet,NHS SUPPLY CHAIN,14391338,50739.41
Department of Health,Sussex Community NHS Trust,15/02/2012,Other Public Sector,Director Finance + Plan,NHS SHARED BUSINESS SERVICES LTD,13056625,39753.33
Department of Health,Sussex Community NHS Trust,15/02/2012,Other Public Sector,Payroll,NHS SHARED BUSINESS SERVICES LTD,13056625,-10815.65
Department of Health,Sussex Community NHS Trust,17/02/2012,Prepayments - Current,Balance Sheet,TOTAL GAS&POWER LTD,14449385,29941.55
Department of Health,Sussex Community NHS Trust,15/02/2012,Rent,EDS Worthing WS,WESTERN SUSSEX HOSPITALS NHS TRUST,14383468,1287.83
Department of Health,Sussex Community NHS Trust,08/02/2012,Rent,Estates - Com Premises,SUFFOLK LIFE,14375609,41963.01
Department of Health,Sussex Community NHS Trust,15/02/2012,Rent,Facilities South HC WS,WESTERN SUSSEX HOSPITALS NHS TRUST,14383468,6426.58
Department of Health,Sussex Community NHS Trust,15/02/2012,Rent,IC South WS,WESTERN SUSSEX HOSPITALS NHS TRUST,14383468,1986.00
Department of Health,Sussex Community NHS Trust,16/02/2012,Rent,MSK - PCIS (Vale) WS,CUCKFIELD MEDICAL PRACTICE,14439566,74580.00
Department of Health,Sussex Community NHS Trust,15/02/2012,Rent,Occupational Health WS,WESTERN SUSSEX HOSPITALS NHS TRUST,14383468,16034.67
Department of Health,Sussex Community NHS Trust,01/02/2012,Services Received - NHSTs,Transport,WESTERN SUSSEX HOSPITALS NHS TRUST,14296459,33144.35
Department of Health,Sussex Community NHS Trust,29/02/2012,Services from Local Auth,OneTeam South WS,WEST SUSSEX COUNTY COUNCIL,14503299,40000.00
Department of Health,Sussex Community NHS Trust,08/02/2012,Social Worker Qualified,Queens Park Villas,BRIGHTON & HOVE CITY COUNCIL,14383457,22802.00
Department of Health,Sussex Community NHS Trust,08/02/2012,Social Worker Qualified,Rapid Response Service,BRIGHTON & HOVE CITY COUNCIL,14383457,9122.00
Department of Health,Sussex Community NHS Trust,15/02/2012,Wheelchairs,Wheelchairs Services,AJ MOBILITY LTD,14343927,21653.14
Department of Health,Sussex Community NHS Trust,17/02/2012,Other Public Sector,Director Finance + Plan,SSC SBS SLA,RDR   SBS SLA,25445.36
