CPS outcomes by principal offence category Durham,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,3,100.00%,0,0.00%
B Offences Against The Person,93,76.90%,28,23.10%
C Sexual Offences,10,71.40%,4,28.60%
D Burglary,32,94.10%,2,5.90%
E Robbery,2,50.00%,2,50.00%
F Theft And Handling,123,89.10%,15,10.90%
G Fraud And Forgery,9,100.00%,0,0.00%
H Criminal Damage,35,87.50%,5,12.50%
I Drugs Offences,27,100.00%,0,0.00%
J Public Order Offences,73,89.00%,9,11.00%
K All Other Offences (excluding Motoring),25,96.20%,1,3.80%
L Motoring Offences,135,93.80%,9,6.30%
Admin Finalisations,0,0.00%,1,100.00%
TOTAL,567,88.20%,76,11.80%
