Posted Date,Merchant Name,Amount,Description
05-Apr-11,ALLERDALE BOROUGH        WORKINGTON   ,"1,645.40",Business rates
05-Apr-11,ROSE BANK SAWMILL LTD    CARLISLE     ,"1,236.66",Fencing Materials for Bowness Common
05-Apr-11,WWW.NEOPOST.CO.UK        0845 880 0000,"1,133.00",Franking machine Top Up
05-Apr-11,SPUNHILL FARM SALE       ELLESMERE    ,987.60,Livestock products
05-Apr-11,WM PLANT                 CARLISLE     ,726.38,Plant hire
05-Apr-11,A PLANT                  STOCKTON     ,-500.00,Plant hire reimbursement of deposit
05-Apr-11,CENTREWIRE LTD           CHEADLE      ,"1,977.30",Purchase of gates and stiles
05-Apr-11,WWW.BUYACAMERA.CO.UK     INTERNET     ,551.97,Purchase of photographic equipment
05-Apr-11,GS & PA REEVES LTD       01939 232440 ,"1,140.00",Purchase of timber
05-Apr-11,JERSEY FARM COUNTRY HOTELBARNARD CASTL,543.65,Uplands Entry Level Scheme (UELS) event venue costs
05-Apr-11,OCEAN SCIENTIFIC INTL    HAVANT       ,510.00,Water quality testing
07-Apr-11,WWW.FRJONESANDSON.       0208 8528393 ,566.95,Arborist equipment
07-Apr-11,ALANA ECOLOGY LTD        BISHOPS CASTL,"1,924.95",Bird tracking equipment
07-Apr-11,AGROVISTA (UK) LTD       HALESWORTH   ,"1,494.36",Bracken Herbicide
07-Apr-11,SAID BUS SCHOOL          OXFORD       ,600.00,Contribution to Academic conference (Oxford University)
07-Apr-11,ISLES OF SCILLY SS CO LT ST MARYS     ,590.00,Diving survey work
07-Apr-11,AST CONNECTIONS LT       GREAT YARMOUT,979.59,Equipment to map Regionally Important Geological Sites
07-Apr-11,AST CONNECTIONS LT       GREAT YARMOUT,"1,316.33",Equipment to map Regionally Important Geological Sites
07-Apr-11,AST CONNECTIONS LT       GREAT YARMOUT,"1,392.86",Equipment to map Regionally Important Geological Sites
07-Apr-11,AST CONNECTIONS LT       GREAT YARMOUT,"1,392.86",Equipment to map Regionally Important Geological Sites
07-Apr-11,AST CONNECTIONS LT       GREAT YARMOUT,"1,419.50",Equipment to map Regionally Important Geological Sites
07-Apr-11,AST CONNECTIONS LT       GREAT YARMOUT,"1,541.74",Equipment to map Regionally Important Geological Sites
07-Apr-11,FRANCOTYP                DARTFORD     ,"1,019.03",Franking machine Top Up
07-Apr-11,FRANCOTYP                DARTFORD     ,"1,036.00",Franking machine Top Up
07-Apr-11,DOTTED EYES LTD          BROMSGROVE   ,"1,650.00",Geographical Information System Training
07-Apr-11,CRUSHERS (UK) LTD        STAFFORD     ,"2,499.60",Parts and accessories for construction equipment  
