Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/07/2017,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,HUMBER NHS FOUNDATION TRUST,1010011539,"£37,448.00",PAEDIATRIC RECHARGE OVERHEAD ELEMENT 2017/18,
Department of Health,03F,31/07/2017,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,H0003129,"£66,222.87",BESPOKE REHAB PACKAGE,
Department of Health,03F,31/07/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CALVERT PRACTICE,KHU000024966,"£31,134.57",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR A KUMAR-CHOUDHARY,KHU000024968,"£34,188.29",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR JR LORENZ & PARTNERS,KHU000024970,"£152,635.41",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR MJ VARMA & PARTNERS,KHU000024974,"£91,827.39",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,DR R RAUT & PARTNER,KHU000024976,"£55,838.63",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST PARK PRACTICE,KHU000024977,"£83,522.71",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSTON MEDICAL GROUP,KHU000024979,"£95,624.53",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,KINGSWOOD SURGERY KINGSTON HULL,KHU000024981,"£204,106.66",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,QUAYS MEDICAL CENTRE,KHU000024984,"£55,208.05",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,RIVERSIDE MEDICAL CENTRE KINGSTON HULL,KHU000024986,"£43,897.05",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,STORY STREET PRACTICE & WALK IN CENTRE,KHU000024987,"£105,195.72",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,SUTTON MANOR SURGERY,KHU000024989,"£77,743.21",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS GROUP PRACTICE HESSLE ROAD,KHU000024993,"-£85,403.69",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS GROUP PRACTICE HESSLE ROAD,KHU000024994,"£121,415.96",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/07/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,AVENUES MEDICAL CENTRE,KHU000025135,"£54,385.18",LOCAL ENHANCED SERVICES,
