CPS outcomes by principal offence category dorset,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,103,76.8%,31,23.2%
C Sexual Offences,6,80.0%,3,20.0%
D Burglary,9,94.1%,1,5.9%
E Robbery,1,100.0%,2,0.0%
F Theft And Handling,121,94.8%,7,5.2%
G Fraud And Forgery,13,100.0%,2,0.0%
H Criminal Damage,30,78.9%,6,21.1%
I Drugs Offences,33,95.5%,2,4.5%
J Public Order Offences,64,85.7%,10,14.3%
K All Other Offences (excluding Motoring),31,82.4%,5,17.6%
L Motoring Offences,171,83.0%,28,17.0%
Admin Finalisations,0,0.0%,9,100.0%
TOTAL,582,84.6%,106,15.4%
