Newcastle City Council Invoices over £500 paid in July 2011,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Expenditure Category,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Cost Centre,Cost Centre Description,Grand Total
Adult and Culture,Ad Serv-Welfare Rights-    ,Supplies & Services,06 July 2011,INSTITUTE OF MONEY ADVISERS,5158833,Revenue,1MR48,WELFARE RIGHTS WORKERS       M,504.00
Adult and Culture,Adult - Learning & Development   ,Employees,25 July 2011,BAAF,5177695,Revenue,1MR43,Development - Children's ServE,756.30
Adult and Culture,Adult - Learning & Development   ,Employees,12 July 2011,OPEN UNIVERSITY,5163046,Revenue,1MR34,Development - Adult services M,"3,420.00"
Adult and Culture,Adult - Learning & Development   ,Employees,01 July 2011,Redacted Personal Data,5152206,Revenue,1MR64,Students Training & DevelopmeM,"4,350.00"
Adult and Culture,Adult - Learning & Development   ,Employees,12 July 2011,Redacted Personal Data,5162801,Revenue,1MR64,Students Training & DevelopmeM,"3,000.00"
Adult and Culture,Adult Serv Admin Support   ,Capital Expenditure,13 July 2011,CARE MONITORING 2000 LTD,5153958,Capital,2WG16,I.T. Infrastructure Upgrade  M,"1,080.00"
Adult and Culture,Adult Serv Admin Support   ,Capital Expenditure,13 July 2011,CARE MONITORING 2000 LTD,5157164,Capital,2WG16,I.T. Infrastructure Upgrade  M,"1,080.00"
Adult and Culture,Adult Serv Admin Support   ,Capital Expenditure,13 July 2011,CARE MONITORING 2000 LTD,5157217,Capital,2WG16,I.T. Infrastructure Upgrade  M,"1,080.00"
Adult and Culture,Adult Serv Admin Support   ,Capital Expenditure,13 July 2011,CARE MONITORING 2000 LTD,5157222,Capital,2WG16,I.T. Infrastructure Upgrade  M,"5,666.66"
Adult and Culture,Adult Serv Admin Support   ,Capital Expenditure,13 July 2011,CARE MONITORING 2000 LTD,5157224,Capital,2WG16,I.T. Infrastructure Upgrade  M,"5,666.66"
Adult and Culture,Adult Serv Admin Support   ,Capital Expenditure,13 July 2011,CARE MONITORING 2000 LTD,5158121,Capital,2WG16,I.T. Infrastructure Upgrade  M,"5,666.66"
Adult and Culture,Adult Serv Admin Support   ,Capital Expenditure,13 July 2011,CARE MONITORING 2000 LTD,5158148,Capital,2WG16,I.T. Infrastructure Upgrade  M,"1,080.00"
Adult and Culture,Adult Serv Admin Support   ,Premises,14 July 2011,N POWER NORTHERN LTD,5165629,Revenue,1MR07,Shieldfield Centre           M,"1,616.60"
Adult and Culture,Adult Serv Admin Support   ,Supplies & Services,08 July 2011,CHILD POVERTY ACTION GROUP,5120253,Revenue,1MR48,WELFARE RIGHTS WORKERS       M,"1,051.65"
Adult and Culture,Adult Serv Byker Lodge     ,Premises,25 July 2011,N POWER NORTHERN LTD,5177241,Revenue,1MG26,Byker Lodge                  M,"1,059.93"
Adult and Culture,Adult Serv Byker Lodge     ,Premises,01 July 2011,N POWER NORTHERN LTD,5154004,Revenue,1MG26,Byker Lodge                  M,"1,025.62"
Adult and Culture,Adult Serv Capability's    ,Premises,22 July 2011,ON-PROPERTY,5175256,Revenue,1MW03,Capabilities                 M,"6,123.08"
Adult and Culture,Adult Serv Capability's    ,Supplies & Services,27 July 2011,APOGEE CORPORATION,5180066,Revenue,1MW03,Capabilities                 M,433.12
Adult and Culture,Adult Serv Drug Action Team  ,Supplies & Services,14 July 2011,BUSINESS & DECISION LTD,5165671,Revenue,1MF29,DIP Drug Intervention ProgramM,650.00
Adult and Culture,Adult Serv Drug Action Team  ,Supplies & Services,14 July 2011,NEWCASTLE PROPS,5165340,Revenue,1MP26,DSU ALCOHOL SRV & NEEDLE EXCHM,"30,000.00"
Adult and Culture,Adult Serv Drug Action Team  ,Third Party Payments,14 July 2011,NEWCASTLE PROPS,5165341,Revenue,1MP26,DSU ALCOHOL SRV & NEEDLE EXCHM,"30,000.00"
Adult and Culture,Adult Serv Drug Action Team  ,Third Party Payments,25 July 2011,NORTH TYNESIDE PRIMARY CARE TRUST,5177422,Revenue,1MP27,DAT Residential Rehab        M,"93,020.17"
