Table 9 Security and Intelligence Agencies total departmental spending,,,,,,,,,
£'000,,,,,,,,,
,,,,,,,,,
,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Outturn,Outturn,Outturn,Outturn,Outturn,Outturn,Plans,Plans,Plans
,,,,,,,,,
Resource DEL,,,,,,,,,
,,,,,,,,,
Section A: Security and Intelligence Agencies,"1,347,624","1,381,250","1,581,694","1,745,557","1,853,224","1,950,356","2,143,540","2,134,600","2,189,600"
,,,,,,,,,
Total Resource DEL,"1,347,624","1,381,250","1,581,694","1,745,557","1,853,224","1,950,356","2,143,540","2,134,600","2,189,600"
Of which:,,,,,,,,,
Pay,"479,283","549,714","612,992","665,672","689,449","690,750","671,859","655,100","654,300"
Net current procurement1,"713,284","690,557","745,296","766,695","811,263","879,587","1,025,626","1,034,200","1,041,500"
current grants and subsidies to the private sector and abroad,-,-,-,-,-,-,-,-,-
current grants to local government,-,-,-,-,-,-,-,-,-
Depreciation2,"144,644","138,825","222,809","286,532","318,363","345,791","412,900","445,300","493,800"
Other,"10,413","2,154",597,"26,658","34,149","34,228","33,155",-,-
,,,,,,,,,
Resource AME,,,,,,,,,
,,,,,,,,,
Section B: Spending in Annually Managed Expenditure,-,"54,031","16,885","37,315","106,945","18,270","29,977","6,500","6,500"
,,,,,,,,,
Total Resource AME,-,"54,031","16,885","37,315","106,945","18,270","29,977","6,500","6,500"
Of which:,,,,,,,,,
Pay,-,-,-,-,-,13,-,-,-
Net current procurement1,-,-,-,-,-,-,-,-,-
current grants and subsidies to the private sector and abroad,-,-,-,-,-,-,-,-,-
current grants to local government,-,-,-,-,-,-,-,-,-
Net public service pensions3,-,-,-,-,-,-,-,-,-
Take up of provisions,-,"2,741","11,641","18,307","47,602","-3,282","-5,396",-,-
Release of provisions,-,-,-,-,-,-,-,-,-
Depreciation2,-,"51,290","12,003","17,040","58,626","21,539","35,373","6,500","6,500"
Other,-,-,"-6,759","1,968",717,-,-,-,-
,,,,,,,,,
Total Resource Budget,"1,347,624","1,435,281","1,598,579","1,782,872","1,960,169","1,968,626","2,173,517","2,141,100","2,196,100"
Of which:,,,,,,,,,
Depreciation2,"144,644","190,115","234,812","303,572","376,989","367,330","448,273","451,800","500,300"
,,,,,,,,,
Capital DEL,,,,,,,,,
,,,,,,,,,
Section A: Security and Intelligence Agencies,"211,700","325,646","355,020","349,868","345,132","385,357","384,251","352,000","335,500"
,,,,,,,,,
Total Capital DEL,"211,700","325,646","355,020","349,868","345,132","385,357","384,251","352,000","335,500"
Of which:,,,,,,,,,
Net capital procurement4,"211,700","284,682","355,020","349,868","345,132","385,357","384,251","334,500","318,000"
capital grants to the private sector and abroad,-,-,-,-,-,-,-,"17,500","17,500"
capital support for local government,-,-,-,-,-,-,-,-,-
capital support for public corporations,-,-,-,-,-,-,-,-,-
Other,-,"40,964",-,-,-,-,-,-,-
,,,,,,,,,
Capital AME,,,,,,,,,
,,,,,,,,,
Total Capital AME,-,-,-,-,-,-,-,-,-
Of which:,,,,,,,,,
capital grants to the private sector and abroad,-,-,-,-,-,-,-,-,-
Net lending to the private sector and abroad,-,-,-,-,-,-,-,-,-
capital support for public corporations,-,-,-,-,-,-,-,-,-
Other,-,-,-,-,-,-,-,-,-
,,,,,,,,,
Total Capital Budget,"211,700","325,646","355,020","349,868","345,132","385,357","384,251","352,000","335,500"
,,,,,,,,,
Total departmental spending5,"1,414,680","1,570,812","1,718,787","1,829,168","1,928,312","1,986,653","2,109,495","2,041,300","2,031,300"
of which:,,,,,,,,,
Total DEL,"1,414,680","1,568,071","1,713,905","1,808,893","1,879,993","1,989,922","2,114,891","2,041,300","2,031,300"
Total AME,-,"2,741","4,882","20,275","48,319","-3,269","-5,396",-,-
,,,,,,,,,
1 Net of income from sales of goods and services,,,,,,,,,
2 Includes impairments,,,,,,,,,
"3 Pension schemes report under FRS 17 accounting requirements.  These figures therefore include cash payments made and contributions received, as well as certain non-cash items",,,,,,,,,
4 Expenditure on tangible and intangible fixed assets net of sales,,,,,,,,,
"5 Total departmental spending is the sum of the resource budget and the capital budget less depreciation. Similarly, total DEL is the sum of the resource budget DEL and capital budget DEL less depreciation in DEL, and total AME is the sum of resource budget AME and capital budget AME less depreciation in AME.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Spending by local authorities on functions relevant to the department,,,,,,,,,
,,,,,,,,,
£'000,,,,,,,,,
,,,,,,,,,
,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,,,
,Outturn,Outturn,Outturn,Outturn,Outturn,Outturn,,,
,,,,,,,,,
,,,,,,,,,
Current spending,-,-,-,-,-,-,,,
of which:,,,,,,,,,
financed by grants from budgets above,"1,202,716","1,242,156","1,358,603","1,432,319","1,500,708","1,570,327",,,
,,,,,,,,,
Capital spending,-,-,-,-,-,-,,,
of which:,,,,,,,,,
financed by grants from budgets above,"211,700","284,682","355,020","349,868","345,132","385,357",,,
